"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Id1",1.68777234997471,1.02232545739379,0.196474382378223,5.20335244228309,1.95725170426554e-07,1.4468983223783e-05
"Sgk1",1.71217673610583,1.01382319054913,0.191477011339979,5.29475148715905,1.19178372158314e-07,9.4395655305036e-06
"Akr1a1",2.28941672086649,1.01219028577645,0.168115607681543,6.02079901881458,1.73558156029845e-09,1.92454300267594e-07
"Gm9320",2.34816252497009,1.01209028476952,0.164235547043159,6.16243135539685,7.16363885269681e-10,9.07837718032478e-08
"Eln",1.6782147739222,1.01048232315901,0.213826393994385,4.72571371701448,2.29308518723611e-06,0.00013668742126759
"Abcg1",2.5170675916562,1.00370219684853,0.241086992810307,4.16323661906667,3.13767912871986e-05,0.00128862738661453
"Rps15a-ps6",3.56645788102881,1.0028788292763,0.149754520745789,6.6968183950767,2.1300605694719e-11,3.43559405668823e-09
"Cd79b",3.46768779069372,-1.5766520081032,0.176512189580979,-8.93225568073235,4.17409443047645e-19,1.54284965386486e-16
"Ly6d",5.53957622759552,-1.45926485301055,0.255637839125105,-5.70832885305531,1.14090821816978e-08,1.16333296590622e-06
"Cd79a",91.2393654215306,-1.45405515314029,0.233677244330144,-6.22249358215629,4.89314804059763e-10,6.3833994511973e-08
"Ltb",3.39443196821135,-1.37189674370949,0.142134489891883,-9.65210305220811,4.81578080767004e-22,2.24846271288637e-19
"Ms4a1",2.9260645244833,-1.29975967235804,0.214834362257242,-6.05005483620779,1.44796539025773e-09,1.64678217653542e-07
"Cr2",1.61221226490008,-1.19740884273605,0.168571400626506,-7.10327397343679,1.21835535381617e-12,2.51349542876819e-10
"2010001M09Rik",1.89641495438643,-1.19089693190529,0.166050209913196,-7.17190862045787,7.39593052470964e-13,1.72361143316703e-10
"Cd74",41.8622368537584,-1.18913274879518,0.302947013482284,-3.92521693852157,8.66516106484086e-05,0.00311209084235641
"H2-Eb1",7.8493093439577,-1.15426361482308,0.220390569638544,-5.23735483199736,1.62894333492819e-07,1.21431565749143e-05
"H2-Aa",10.1857611448744,-1.0768997705621,0.236386081410936,-4.55568180721271,5.22159294372056e-06,0.000270881584817223
"H2-Ab1",10.9386574073493,-1.04504716054986,0.236375326676857,-4.42113470657839,9.81839381361095e-06,0.000463292401705014
