"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Angptl2",362.036977291986,10.3666272227755,0.262717718470708,39.4591856351375,0,0
"Smc3",510.098682189515,10.3651096570257,0.207824665385227,49.8742997507671,0,0
"Rsl1",360.630295884971,10.361192520738,0.252871418437116,40.9741543143776,0,0
"2010305A19Rik",364.253848612909,10.3093381722243,0.245540809645685,41.9862514386128,0,0
"Fbxo27",344.945795217398,10.296930611078,0.214683658627567,47.9632715266005,0,0
"Tor1a",422.212662552217,10.2854697091042,0.227621044703783,45.1868135588663,0,0
"4930451I11Rik",331.526620976206,10.2395141792955,0.254000896039447,40.312905737566,0,0
"Kif19a",334.130804098355,10.2341075183332,0.252471281957174,40.5357292084776,0,0
"Ccdc109b",326.825175504561,10.1686143684627,0.240789758523527,42.2302610825914,0,0
"Grik5",314.087835522059,10.1613569815069,0.202753866629259,50.1167112146235,0,0
"Zdhhc16",310.424799797013,10.1275246031254,0.237002452045505,42.7317292108898,0,0
"Dnaic2",304.105615017802,10.1146397695153,0.220305475141537,45.9118855898477,0,0
"Mir5101",299.557855738769,10.0928064801622,0.258671438637895,39.0178619383283,0,0
"Galc",294.80427206169,10.0696314016973,0.226224793260674,44.5116172129472,0,0
"Tdrd1",293.780231984385,10.0646434313262,0.261801554602852,38.4437878781663,0,0
"Gm10789",290.643589361966,10.0491027859177,0.259437696110255,38.7341659927748,0,0
"BC030476",286.751426541974,10.0295911338601,0.272479036470163,36.8086707285401,1.34152311406623e-296,1.02229936575558e-294
"Olfr199",285.47880110393,10.0231667390292,0.221588323236256,45.2332803129818,0,0
"Gm7849",282.261345644249,10.0067729863324,0.218606686497805,45.7752374670977,0,0
"2610101N10Rik",401.249155577043,10.005678217055,0.210771095867888,47.4717758421991,0,0
"Tmco6",280.657096349216,9.98144115135903,0.227613079692006,43.8526694725337,0,0
"Vmn2r25",275.641347906193,9.97243534499583,0.23427996745371,42.5663169300475,0,0
"Olfr20",269.716110381143,9.94099004661126,0.214378583721229,46.371190041717,0,0
"Fam108c",276.013481029131,9.92369230705805,0.208911276194806,47.5019467010694,0,0
"Mir10b",263.713704950187,9.90840150557123,0.236085703827802,41.969510838311,0,0
"Mir3085",262.844060434966,9.90363637899944,0.223051280508132,44.4007151917622,0,0
"Cartpt",261.960173471439,9.8987374432622,0.230464975309202,42.951157458879,0,0
"Slc5a12",254.063624436553,9.85441139052089,0.24175476815177,40.7620146061999,0,0
"Gm2016",247.930441434448,9.81906390751133,0.2407362724726,40.7876378854745,0,0
"Tox",260.182568925145,9.80627377106169,0.231863707600988,42.2932673359006,0,0
"Taf7l",245.131986026387,9.80261797905804,0.23414966063604,41.8647541594995,0,0
"Gm18756",241.808407849306,9.78286123293478,0.232048605429654,42.1586728126253,0,0
"Ngb",241.497039254942,9.78097066086506,0.279316066744864,35.0175726547062,1.21549620567563e-268,8.08266266704047e-267
"Acot12",240.102153897714,9.77259390980667,0.273996067027765,35.6669130904582,1.28854258235707e-278,9.08944902689716e-277
"Gm6927",239.791353759691,9.77073560866361,0.226903320460799,43.0612279662592,0,0
"Tas2r129",238.878999878935,9.76519094707491,0.28088488858218,34.7658109924197,7.99639801591867e-265,5.15323427692536e-263
"Hipk4",236.440733935134,9.75036465133075,0.205118492876616,47.5352783388276,0,0
"Vmn2r20",235.515643209745,9.74466132233846,0.278274505650953,35.0181605732918,1.19070786726391e-268,7.96858341938158e-267
"E2f6",233.731729022919,9.73359048000732,0.245721632093614,39.6122652982341,0,0
"Pkn3",233.172649235717,9.72995329336438,0.250063393828998,38.9099465714605,0,0
"Rgs22",229.893933347789,9.70968296480885,0.22285924154252,43.5686799326933,0,0
"BB283400",228.278313491994,9.69946528396652,0.285550175529982,33.9676390181315,6.69736277342685e-253,3.86300924610919e-251
"Olfr10",226.211288089043,9.68627508883251,0.294382303585931,32.9037274688118,1.94396078965449e-237,9.85191778834604e-236
"Lrrc48",223.800924422595,9.67077069823006,0.300917638091072,32.1376000409229,1.31623961939191e-226,5.94871931881018e-225
"Prr5l",224.579125272569,9.65870023972654,0.243120015104783,39.7281163196856,0,0
"B4galt1",243.880111626414,9.63414844038429,0.2600860604882,37.0421560551931,2.40197146668156e-300,1.89974106910269e-298
"Pcdha4-g",217.331641216067,9.62831622662993,0.226416954918231,42.5247138850849,0,0
"Cyp2s1",216.86609110081,9.62518950416235,0.227564019289218,42.2966228766131,0,0
"4833420G17Rik",233.794207182475,9.6195937924061,0.291060468447579,33.0501556728533,1.54760905329e-239,7.95913227406288e-238
"Neurl1a",215.331011802835,9.61485008651328,0.289623757959403,33.1977257468671,1.16105838064063e-241,6.18441300708578e-240
"Pcdhb6",215.321978770429,9.61484403114626,0.239318609151356,40.1759147157061,0,0
"Timm50",230.879159995353,9.60140114260823,0.210395458102608,45.6350209704893,0,0
"C330005M16Rik",210.815038110726,9.58422951748579,0.215368066239707,44.5016277706577,0,0
"Grm6",209.643673771375,9.57609930800028,0.250993455883905,38.1527847978221,0,0
"2610034B18Rik",206.321341690857,9.55290658488878,0.247936345168804,38.5296741322246,0,0
"Dusp5",204.545067399574,9.54040390358141,0.230012980900124,41.4776760261371,0,0
"Olfr1278",204.315320071955,9.53881349353688,0.286498593661692,33.2944513675368,4.64526990406614e-243,2.56595861367463e-241
"Gm3383",202.099645653579,9.52303821773429,0.243795211048814,39.0616295404897,0,0
"Prrt4",198.168563671287,9.49453580784412,0.296448782130329,32.0275756898539,4.50632739700349e-225,2.01051530020156e-223
"Rod1",301.447903863205,9.46559963180232,0.247351332483402,38.2678335983392,0,0
"Sertad3",207.843614889962,9.46470648003239,0.208033100181569,45.4961564855387,0,0
"Dmrtc2",192.801365516817,9.4547987960818,0.207898843889691,45.4778805845521,0,0
"Wdyhv1",194.097681823084,9.44717356417088,0.271751986837216,34.7639539792211,8.53011946108117e-265,5.46346301679064e-263
"Bdp1",233.164925275965,9.42466529285528,0.233472666839891,40.3673175983313,0,0
"5530401A14Rik",187.759728535522,9.41636224558877,0.298986213551775,31.4943024754489,1.03958055275922e-217,4.27292164204972e-216
"Pcdha2",187.059783476256,9.41096499903036,0.251729712769707,37.3851973828767,6.79893771199763e-306,5.46006997794271e-304
"Dnlz",232.227222833852,9.40569210632998,0.207072417671945,45.4222354289163,0,0
"Tmem67",184.346138277656,9.38969247502481,0.26035664569356,36.0647313227276,8.10478541258275e-285,5.8759694241225e-283
"Cyp46a1",183.182232692968,9.38059961874997,0.274768238173025,34.1400435549719,1.87910060922788e-255,1.10212417754714e-253
"Tars",202.10556116804,9.37737624461238,0.189964375227826,49.3638674797103,0,0
"Elmod2",181.335984653563,9.36585383974288,0.245721478279092,38.1157312960045,0,0
"Skor2",179.872865939148,9.35418717068794,0.234206405157476,39.9399289033037,0,0
"Olfr825",178.852361935101,9.34592483005991,0.270811478410265,34.5108149954461,5.52140006378299e-261,3.37096003894119e-259
"Iqce",184.565459672267,9.34122292347699,0.268502833298826,34.7900348339373,3.44127112784108e-265,2.2454294109163e-263
"Pfdn4",200.503060801478,9.33509479762687,0.280914812288971,33.2310522238467,3.83433856012565e-242,2.07411888951875e-240
"Nlrp4a",176.839210225673,9.32952043933951,0.226521333120688,41.1860565661109,0,0
"Map3k11",195.115727360731,9.32665644248987,0.215094493498085,43.3607401603375,0,0
"1700019E19Rik",175.512810002357,9.31826767099919,0.266234864936931,35.0001780315535,2.23583473707875e-268,1.47734902880393e-266
"Phc1",179.149215036149,9.31484526886854,0.254525157584036,36.5969531549866,3.19772794724193e-293,2.40174674598602e-291
"Gm10046",173.662977760755,9.30323437127922,0.206407598222686,45.0721506930296,0,0
"Ryr3",173.519257399403,9.3020340170362,0.257864412445837,36.0733531579897,5.93718234254264e-285,4.36508335606656e-283
"Sh3bp1",178.318225103239,9.29150034355663,0.314513992654363,29.5424068898823,8.22085970821328e-192,2.88005957562908e-190
"AU022793",172.20145072174,9.29084426751029,0.254331941850287,36.530387020673,3.65309759280939e-292,2.72416706206643e-290
"Tas2r125",171.381883479807,9.28406250624815,0.260739844214256,35.6066121548313,1.10688114327585e-277,7.70389275719989e-276
"Vmn1r214",169.889285523886,9.27137834730406,0.250770068406474,36.9716306504175,3.27243334168209e-299,2.5687371494106e-297
"A430093F15Rik",173.7100570229,9.26971581200064,0.302421189504958,30.6516743326567,2.51034267588792e-206,9.32668239724905e-205
"Gm13807",168.998785667642,9.26376285655434,0.267183640668881,34.6718939578897,2.09010285572561e-263,1.29116413099262e-261
"C130071C03Rik",168.535142624274,9.25976264096841,0.283651006292255,32.6449137692386,9.46213151711834e-234,4.61610528218296e-232
"Ckb",187.531045771269,9.2507223746783,0.228515157985531,40.4818763719124,0,0
"2310014L17Rik",166.892261907931,9.2455536070579,0.259655276724517,35.6070314598961,1.09046520792393e-277,7.64057501390993e-276
"Macrod1",167.858309828351,9.23681957729893,0.292028453416298,31.6298616427335,1.43500956433646e-219,6.01666660709747e-218
"Zfp800",205.265025081764,9.22755913503089,0.26143712779728,35.2955190901041,6.87951384481894e-273,4.63368545418772e-271
"Npr3",162.981361278592,9.21090523925669,0.289764916096271,31.7875102457072,9.63242299335979e-222,4.1383743230731e-220
"Olfr75-ps1",162.661472033266,9.20832294768122,0.273185414891187,33.7072275668487,4.52995127269896e-249,2.55636169118796e-247
"A330102I10Rik",162.552010039975,9.20731894212256,0.294686871071128,31.2444151605933,2.65864550118526e-214,1.06754842432208e-212
"Mir367",160.039774270199,9.18474045925671,0.28431822593531,32.3044378496737,6.05983139825075e-229,2.77476490340955e-227
"Olfr971",157.450965846936,9.16107751457277,0.317848270702784,28.8221719574469,1.13150914949326e-182,3.65726177111754e-181
"Plekhg2",160.576606190834,9.13921642211683,0.21518654776491,42.4711326848432,0,0
"Vmn1r184",154.458369667184,9.13327649566599,0.239728027578169,38.0984926457456,0,0
"Gm806",153.463160299215,9.1238652767856,0.295445852222758,30.8816834223365,2.10454335237668e-209,7.98961185411363e-208
"Tyr",153.347746097572,9.12278143341465,0.27741799418385,32.8846059905141,3.64841513838415e-237,1.84007024370679e-235
"Fancf",154.842697443452,9.11995169020453,0.332124997866234,27.4593955552773,5.36610171148108e-166,1.46654716931577e-164
"Megf8",151.237323931619,9.10254195927842,0.241785516466629,37.6471762754853,0,0
