Genes,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
Rps6,17.1316982778106,4.13380616704098,0.220846157025137,18.7180353179995,3.52930589174654e-78,1.40579753948241e-77
Rpl19,18.3207004708859,4.12621889304665,0.214024099891556,19.27922554113,8.0269284808242e-83,3.4801135107892296e-82
Cst3,10.1602767813337,4.1209186644041,0.287054445430637,14.3558782314691,9.78777253989088e-47,2.7358593123550403e-46
Rpl9,16.4429950593001,4.03260698383627,0.218308300966581,18.4720735124662,3.4651510483972695e-76,1.34334114167351e-75
Rps15,16.9753234690946,4.02389514321771,0.213264539173666,18.8680929272586,2.0869503864869302e-79,8.520829892422171e-79
Rps13,16.2995841808648,3.95554870620264,0.215777755721431,18.331587020996,4.63191169247541e-75,1.766148943369e-74
Rpl39,16.2850439858189,3.90128265506664,0.212509033596639,18.358196774221,2.83878060999434e-75,1.08719257404039e-74
Rpl36,13.1107042617893,3.88807815703201,0.216138533428075,17.9888245532389,2.38360368213142e-72,8.65559041441811e-72
Ccl5,9.64582708004375,3.84524969226115,0.343460046893418,11.1956244315497,4.2837343409029e-29,1.02668013129078e-28
Rpl11,14.25620273961,3.82401969887128,0.210056425018094,18.2047261755592,4.73414794979378e-74,1.76516087842311e-73
Rps20,14.6430969383182,3.76455140066608,0.226741629731433,16.6028241268489,6.6487688245736795e-62,2.11303337986451e-61
Actb,33.3829172846664,3.76004482340082,0.235159062930627,15.9893681176559,1.51560488336741e-57,4.61713305583767e-57
Rpl14,13.228730494444,3.7450998575963,0.217918546406655,17.1857784449774,3.39361113947255e-66,1.12976085127849e-65
Rpsa,13.308099439973,3.74195135588247,0.226722699677179,16.5045289298799,3.4037879549858e-61,1.07163890983268e-60
Rps2,12.9826656408282,3.70074868487003,0.221503283555509,16.7074213323913,1.15733122426854e-62,3.7154175834451297e-62
Rpl18,12.2695065728713,3.65606690372069,0.216449480814674,16.8910865018478,5.23303887092862e-64,1.70302137819497e-63
Rps25,11.8907543186269,3.64439426567332,0.210591644926192,17.3055026325978,4.2753372220465806e-67,1.43657935623322e-66
Rps10,12.6929882337744,3.6305695985901,0.215107273568412,16.8779490268396,6.53769592650711e-64,2.12297186540386e-63
Rpl27a,15.9846672788432,3.60837137226151,0.200827362758475,17.9675285414225,3.4996196249373e-72,1.26729201818749e-71
Rps12,12.3828107901003,3.54109039520965,0.216730473942197,16.3386824695178,5.237240924415179e-60,1.63019663836895e-59
Rpl4,11.3155169509207,3.52123371925697,0.218561285221529,16.1109673000317,2.1365533058756202e-58,6.55276630826717e-58
Ptma,9.26287708363737,3.48763290834433,0.220467774449046,15.8192412340534,2.29238640083448e-56,6.906930454462329e-56
H3f3b,8.0754626294324,3.46195816649498,0.206427528425204,16.7708163388168,3.98989356067547e-63,1.2884159843319499e-62
Klf2,6.94241113900891,3.4412577658254,0.236942771060716,14.5235820042958,8.59015196683378e-48,2.41858647609883e-47
Rpl27,12.3777212870467,3.43214931031586,0.205367612427094,16.7122228756215,1.06779783158005e-62,3.4300951882140796e-62
Rps17,10.4985461566452,3.40072391842477,0.219465647238407,15.4954725772208,3.72213831162575e-54,1.1033254961207501e-53
Rplp0,20.3611242704529,3.39452914950153,0.21272473948265,15.9573783367045,2.53143574107735e-57,7.68708235510399e-57
Rpl24,9.76500932701082,3.37797940922236,0.214095522912001,15.7779077454637,4.41584537931063e-56,1.3262780713464598e-55
Cd52,10.748993976947,3.37708227142168,0.231107102828388,14.6126286474604,2.33338355698167e-48,6.5999795001053e-48
Eif1,9.16054797194288,3.36800584564522,0.194977414198254,17.2738255838218,7.40657852773023e-67,2.48074045009636e-66
Rpl31,9.28310123078123,3.34178659379999,0.213423225199561,15.6580268650484,2.92842419900336e-55,8.747567564404889e-55
H2-K1,8.20905363579129,3.32306494647458,0.214912344710913,15.4624200435976,6.221646428692501e-54,1.8405777476778e-53
Rpl10a,10.4104427978051,3.29607251469374,0.221028577966056,14.9124269134099,2.73623491083237e-50,7.87818325126585e-50
Rpl35a,18.8685685059588,3.27400410188172,0.190721451363438,17.166417717967,4.7377200051839e-66,1.57571828143103e-65
Rpl36a,9.38482687809416,3.26928349003854,0.221608758166469,14.7525012868972,2.96469822258901e-49,8.468248821841119e-49
Rpl10,19.7350084954683,3.26715735341851,0.190931284747137,17.1116920820253,1.21420343754335e-65,4.01911347113271e-65
Rpl8,15.226409301257,3.21442480781883,0.195511624731109,16.441093015516,9.71508487356676e-61,3.04764080769342e-60
Rps15a-ps4,5.75107033780541,3.17352514675868,0.221825589451913,14.3063978984563,1.9958661457758997e-46,5.5639098963686e-46
H2-Ab1,10.9386574073493,3.16161873099386,0.303603622480312,10.4136396830999,2.1484699457065496e-25,4.927510156673189e-25
Rps26,9.24982119847198,3.14356997653285,0.207960633479926,15.1161781147213,1.2668492506773401e-51,3.68102036656596e-51
Fcer1g,5.7135018353838,3.14085518238856,0.275452658519173,11.4025226667759,4.06176062799624e-30,9.825018757247629e-30
Sh3bgrl3,7.42068618621879,3.12555895907621,0.216385675532956,14.4443894050657,2.71956650407648e-47,7.626181655266831e-47
Psap,5.56862428926669,3.11037344769388,0.259132378847654,12.0030289596596,3.4252729150167296e-33,8.54476684176217e-33
Ubb,7.19529065584674,3.09036066098601,0.189884410715358,16.2749572192029,1.4862333135289999e-59,4.6028703035427905e-59
Rpl21,16.9691482075893,3.07271781293011,0.187910144402416,16.3520592392807,4.2052518633903396e-60,1.3101411355952e-59
H2-Aa,10.1857611448744,3.03802337136673,0.303407220639769,10.0130226464641,1.33606840662e-23,2.9913262202686595e-23
