Genes,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
Bcam,1.46048648072419,0.667665376658321,0.223070766648034,2.99306532492345,0.00276190625637856,0.00449552561842722
Fhl1,1.68476911290179,0.637407770418441,0.248771018293177,2.56222680114312,0.0104003376465375,0.0163375752377147
2310001H17Rik,1.50334104851389,0.630512953418978,0.230750536134324,2.73244415368095,0.00628663282451629,0.010023281412332
Cdo1,1.46062140406982,0.60131367921105,0.232400054742372,2.58740764875309,0.0096701113575593,0.0152271436761567
Spp1,1.59273131334183,0.590874908570247,0.258362896797225,2.28699598856872,0.0221960572375233,0.0340024706617379
Nr2f2,1.40069059963202,0.588420207421687,0.221300727323596,2.65891673533125,0.00783923342140166,0.012445498314999
Clec4n,1.44252029313478,0.581987444368527,0.229595522226123,2.53483795644474,0.0112499352473585,0.0176191605134148
Xlr,1.36770595328485,0.56102931842498,0.230755787232947,2.43126868085273,0.0150460524409763,0.0233542651626216
Nr4a1,1.84599694675441,0.540287056107575,0.240521194685826,2.24631786322743,0.0246836551797345,0.0376772733438778
Colec12,1.35590668387844,0.53395028909319,0.217842886237242,2.45107975897681,0.0142428389694675,0.0221239754264605
Fkbp9,1.35862263404053,0.533331331920842,0.226545818278947,2.35418749272233,0.0185632452364415,0.0286263338653544
Sephs2,1.57376112423718,0.531633107785264,0.219058371530227,2.4269015791159,0.0152283864294943,0.0236302548043876
Ctsh,2.48136660314605,0.52887621940399,0.233856193892552,2.26154462963247,0.0237255523234589,0.036292273444236
Hck,1.83185723441999,0.521050148331662,0.228068985589266,2.28461641544734,0.0223353295413918,0.0342057855966159
Mrps17,1.65358371406909,0.520805826860553,0.218939683169507,2.37876395599484,0.017370795320632,0.0268310553554369
Ifitm6,1.82126901591369,0.50431477638232,0.251863039100341,2.00233737424809,0.0452484589573369,0.067254258473035
Slc25a4,1.87598104348776,0.496019686072959,0.221539075696891,2.2389715426619,0.0251577678241922,0.0383482400473889
Id2,2.96180096025692,0.491941870427784,0.25786195801518,1.90777218250559,0.0564206675998501,0.0829855973150795
Hey1,1.35194420245718,0.476815668795081,0.229314202588998,2.07931154464812,0.037588724705839,0.056578184245813
Tmed4,1.43080471388255,0.472905143457367,0.225340981797009,2.09862023181992,0.0358503914312184,0.0540005896035089
Map2k1,1.7257857334131,0.472557408600486,0.220528028577501,2.14284511428629,0.0321255373809112,0.0485932498198657
Plaur,1.63917567353034,0.470208045325249,0.223266884489663,2.106035771494,0.0352012452039563,0.0530371742661106
Sec61g,3.97557542143314,0.46045572369359,0.231805918141607,1.98638467639254,0.0469906268076574,0.0697741635431579
Sntb2,1.30268162929804,0.458981699980132,0.223628427625044,2.05243002803607,0.0401278887614044,0.0601486229244885
Sec23a,1.32299139676255,0.457321687082847,0.224616152688843,2.03601424745427,0.0417489246267254,0.0624887129896793
Nagk,1.40342722225831,0.454839414882789,0.222579597028662,2.0434910519863,0.0410038522592013,0.0613999164638642
Ube2j1,1.468318656599,0.454104847007687,0.224197720072487,2.02546594524184,0.0428195419072039,0.0640544515705987
Vdac2,2.11558755225417,0.451981128800388,0.220679681247686,2.04813205386632,0.0405470618806804,0.0607333322861268
Caml,1.36563456251943,0.45074442995307,0.221741828017831,2.03274426833364,0.0420783663394002,0.0629637587191254
Znhit1,1.60576058238032,0.442738491675726,0.226185142195095,1.95741633327022,0.0502985397196702,0.07447895106562
Gadd45a,1.39547103373339,0.441121999226052,0.218178708965796,2.02183797546995,0.0431930931516418,0.0645854901895073
Ccdc85b,1.75617593788777,0.437415475377744,0.223994886239601,1.9527922387918,0.0508442185717166,0.0750584900860748
